time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
17:28:43:4840,8.9698,5.2083,-6.5256,12.254
17:28:43:4860,1.8598,5.0197,-11.7574,12.919
17:28:43:5080,-7.0588,0.5538,-6.1322,9.367
17:28:43:5100,-6.8961,0.0305,-3.1594,7.585
17:28:43:5130,-4.5620,-0.2173,1.9898,4.982
17:28:43:5290,-1.4933,2.3312,3.5241,4.481
17:28:43:5410,-0.2701,4.8322,0.9170,4.926
17:28:43:5430,-0.4264,4.6236,0.9510,4.740
17:28:43:5540,-0.6265,4.3794,1.3914,4.638
17:28:43:5649,-3.3054,3.9442,-1.5842,5.384
17:28:43:5810,-0.9856,8.4429,3.4192,9.162
17:28:43:5860,-0.2828,8.3441,4.8838,9.672
17:28:43:5960,4.0743,6.3861,7.9734,10.998
17:28:43:6040,-2.1468,3.8282,5.8889,7.345
17:28:43:6210,-6.0225,2.7286,5.5469,8.630
17:28:43:6270,-6.7649,1.4431,6.5650,9.537
17:28:43:6340,-6.9910,0.1288,6.7050,9.687
17:28:43:6450,-6.5518,0.1692,5.0536,8.276
17:28:43:6550,-7.6399,-2.1884,1.1907,8.036
17:28:43:6630,-7.0987,-2.6675,-0.3665,7.592
17:28:43:6770,-7.9518,-4.8906,-2.5818,9.686
17:28:43:6850,-8.6790,-5.1328,-3.0518,10.535
17:28:43:7060,-5.9842,-7.3335,-0.8745,9.506
17:28:43:7080,-6.1909,-7.0862,-0.3051,9.415
17:28:43:7140,-5.3195,-6.6199,-0.1836,8.494
17:28:43:7300,-3.7876,-7.6158,-1.6890,8.672
17:28:43:7440,-6.0943,-7.9503,-5.4848,11.421
17:28:43:7460,-5.9493,-7.5453,-5.2222,10.936
17:28:43:7530,-7.5323,-8.3721,-4.9591,12.305
17:28:43:7640,-6.3224,-7.0418,-2.6373,9.824
17:28:43:7820,-3.5033,-5.5909,0.6382,6.629
17:28:43:7830,-2.7069,-5.0022,0.7896,5.742
17:28:43:7950,-0.9984,-3.6297,1.3041,3.984
17:28:43:8040,-0.4888,-1.8174,2.1989,2.894
17:28:43:8159,-0.2041,-0.7263,4.5610,4.623
17:28:43:8260,-0.5624,0.6518,4.3660,4.450
17:28:43:8350,-1.2733,1.7630,2.4551,3.280
17:28:43:8490,1.3980,1.5885,-3.8588,4.401
17:28:43:8570,7.8525,0.5606,-5.6019,9.662
17:28:43:8650,11.3776,0.7632,-2.8733,11.760
17:28:43:8770,13.9973,0.4062,-1.6112,14.096
17:28:43:8890,12.1091,0.7974,-1.0142,12.178
17:28:43:9020,3.3426,3.9303,1.8359,5.476
17:28:43:9040,1.9975,4.3332,3.1136,5.698
17:28:43:9220,-0.8618,4.9912,4.9482,7.081
17:28:43:9240,-1.8347,5.1388,2.4686,5.989
17:28:43:9400,-4.4366,4.2732,1.4704,6.333
17:28:43:9440,-4.8520,3.9931,1.4755,6.455
17:28:43:9540,-9.4625,-1.8621,0.9805,9.694
17:28:43:9640,-8.1632,-24.2839,1.3963,25.657
17:28:43:9850,-10.1480,-34.3636,0.4117,35.833
17:28:43:9880,-9.0022,-33.4262,0.5019,34.621
17:28:43:9940,-8.1244,-15.0775,-0.1976,17.128
17:28:44:0030,-5.3547,-3.1581,-0.1050,6.217
17:28:44:0220,-3.3021,2.4614,0.3512,4.133
17:28:44:0260,-1.7042,4.3625,0.9110,4.771
17:28:44:0340,1.1443,3.5101,1.0118,3.828
17:28:44:0429,3.5860,1.9374,0.7375,4.142
17:28:44:0560,-0.3608,2.2076,0.3390,2.262
17:28:44:0650,-3.8538,2.5685,0.1498,4.634
17:28:44:0750,-4.2106,2.4089,0.5685,4.884
17:28:44:0840,-2.3031,2.1321,1.4409,3.453
17:28:44:1010,0.3950,2.0152,1.4276,2.501
17:28:44:1030,0.7922,1.8853,1.3959,2.476
17:28:44:1150,1.5782,1.5542,1.3514,2.595
17:28:44:1250,1.9718,1.2376,1.5410,2.792
17:28:44:1570,2.1769,0.8901,2.2278,3.239
17:28:44:1590,2.1574,0.8311,2.3566,3.301
17:28:44:1590,1.8966,0.6516,2.9043,3.529
17:28:44:1640,1.7582,0.4974,3.1725,3.661
17:28:44:1850,1.4037,0.3935,2.6306,3.008
17:28:44:1860,1.3077,0.4618,2.4382,2.805
17:28:44:1960,0.6863,0.8456,1.5940,1.930
17:28:44:2039,0.0146,1.1337,0.8506,1.417
17:28:44:2150,-0.3830,0.9353,0.0515,1.012
17:28:44:2240,-0.4708,0.5081,-0.4138,0.807
17:28:44:2350,-0.2377,-0.3127,-1.0952,1.164
17:28:44:2440,0.0308,-0.9588,-2.0220,2.238
17:28:44:2560,-0.3122,-1.2149,-3.4783,3.698
17:28:44:2650,-1.1121,-0.9035,-4.4969,4.720
17:28:44:2740,-1.6094,0.1240,-5.0669,5.318
17:28:44:2839,-1.7963,0.9495,-4.6540,5.078
17:28:44:3000,-1.4189,1.3292,-2.9122,3.502
17:28:44:3030,-1.1652,1.2792,-2.4857,3.029
17:28:44:3150,-0.2416,0.8941,-1.6423,1.885
17:28:44:3240,0.3645,0.0926,-1.2271,1.283
17:28:44:3410,-0.3459,-1.1480,-1.0335,1.583
17:28:44:3430,-0.5653,-1.2827,-1.0462,1.749
17:28:44:3540,-1.0495,-1.3039,-0.7695,1.842
17:28:44:3670,-1.7115,-1.1494,-0.4456,2.109
17:28:44:3860,-2.2645,-1.0268,-0.1902,2.494
17:28:44:3880,-2.3420,-0.9823,-0.3105,2.559
17:28:44:3940,-2.2992,-0.7908,-0.5097,2.484
17:28:44:4040,-2.2790,-0.7393,-0.7264,2.504
17:28:44:4160,-2.4747,-0.4792,-0.6598,2.606
17:28:44:4240,-2.2975,0.0460,-0.7775,2.426
17:28:44:4360,-2.3853,0.6166,-0.8730,2.614
17:28:44:4430,-2.3660,0.9078,-0.8484,2.672
17:28:44:4560,-2.3215,1.1358,-0.6771,2.672
17:28:44:4640,-2.2825,1.1406,-0.5052,2.601
17:28:44:4840,-2.0878,0.9137,-0.2933,2.298
17:28:44:4860,-1.5898,0.5905,-0.0259,1.696
17:28:44:5000,-1.0450,0.0224,0.1488,1.056
17:28:44:5030,-0.9000,-0.0741,0.1592,0.917
17:28:44:5170,-0.4998,-0.1879,0.2752,0.601
17:28:44:5240,-0.2495,-0.2332,0.3243,0.471
17:28:44:5410,0.1925,-0.2277,0.3886,0.490
17:28:44:5430,0.2500,-0.2485,0.3922,0.527
17:28:44:5540,0.3609,-0.2719,0.4691,0.651
17:28:44:5639,0.5285,-0.2765,0.5140,0.787
17:28:44:5840,0.5976,-0.1330,0.3785,0.720
17:28:44:5850,0.5695,-0.1118,0.3086,0.657
17:28:44:5940,0.4296,-0.1049,0.1404,0.464
17:28:44:6050,0.2340,-0.1481,-0.0523,0.282
17:28:44:6150,0.1775,-0.1698,-0.1794,0.304
17:28:44:6240,0.1328,-0.1197,-0.2407,0.300
17:28:44:6350,0.0610,0.0430,-0.1826,0.197
17:28:44:6440,-0.2376,0.1465,-0.2483,0.374
17:28:44:6620,-0.3877,0.2100,-0.1229,0.458
17:28:44:6650,-0.5599,0.0729,-0.1420,0.582
17:28:44:6740,-0.4383,0.0602,0.0490,0.445
17:28:44:6840,-0.7667,-0.0269,-0.0472,0.769
17:28:44:7010,-0.8441,0.0009,0.1699,0.861
17:28:44:7030,-0.8422,0.0449,0.1390,0.855
17:28:44:7140,-0.9920,0.1196,0.1852,1.016
17:28:44:7240,-0.9144,0.2539,0.2620,0.985
17:28:44:7400,-0.8495,0.3588,0.2586,0.958
17:28:44:7430,-0.8089,0.3673,0.3172,0.943
17:28:44:7540,-0.5936,0.3466,0.4000,0.795
17:28:44:7660,-0.4671,0.3160,0.3410,0.659
17:28:44:7810,-0.2488,0.1249,0.5245,0.594
