time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
17:29:15:3930,0.7366,10.0831,4.0805,10.902
17:29:15:4020,0.5913,9.9640,4.8365,11.092
17:29:15:4130,0.4718,9.9639,4.8622,11.097
17:29:15:4210,0.4377,9.9038,5.0337,11.118
17:29:15:4310,0.0242,9.8868,5.0402,11.097
17:29:15:4520,-0.6514,9.8340,4.5870,10.871
17:29:15:4540,-2.1853,7.9462,-2.0537,8.493
17:29:15:4650,-3.2228,6.8902,-0.9597,7.667
17:29:15:4870,-4.2577,6.9437,6.6049,10.487
17:29:15:4890,-3.7509,6.0778,9.0795,11.552
17:29:15:5000,-11.0454,-13.9008,9.2168,20.005
17:29:15:5020,-15.3639,-29.0770,10.2829,34.457
17:29:15:5190,-19.5654,-67.7047,10.7574,71.291
17:29:15:5220,-0.6834,-68.7103,-5.4238,68.927
17:29:15:5400,-0.5775,-32.9053,7.1848,33.686
17:29:15:5430,-0.5415,-25.8828,7.9237,27.074
17:29:15:5590,-0.5058,-6.7372,6.0326,9.057
17:29:15:5610,-3.5695,3.3508,-1.6997,5.182
17:29:15:5930,-4.9006,9.2647,-6.5155,12.341
17:29:15:5940,-4.3432,9.6059,-5.8289,12.046
17:29:15:5950,-0.7209,10.5170,-4.6442,11.519
17:29:15:6070,1.7129,11.2695,-3.8276,12.024
17:29:15:6270,2.6081,13.0602,-1.1165,13.365
17:29:15:6290,4.2048,13.1180,0.0895,13.776
17:29:15:6310,5.1344,12.6236,3.1538,13.988
17:29:15:6500,5.8064,12.1253,4.9411,14.323
17:29:15:6560,5.3478,11.8207,6.3816,14.459
17:29:15:6680,4.9107,11.8026,6.3684,14.282
17:29:15:6710,4.3082,12.0580,5.2607,13.843
17:29:15:6820,2.6198,12.4101,5.1701,13.697
17:29:15:6979,-0.2698,12.6242,7.4266,14.649
17:29:15:7010,-0.4516,12.7273,7.0975,14.580
17:29:15:7120,-0.9319,13.2067,4.0211,13.837
17:29:15:7210,-0.5734,13.5315,1.3759,13.613
17:29:15:7380,-0.4358,13.5540,1.1842,13.613
17:29:15:7520,2.7008,13.1318,0.5816,13.419
17:29:15:7540,4.6210,11.7993,1.2845,12.737
17:29:15:7610,5.0694,9.8546,0.4303,11.090
17:29:15:7790,3.5104,5.5353,-2.8787,7.159
17:29:15:7810,3.2302,4.9487,-3.1889,6.715
17:29:15:7910,2.5611,3.9279,-4.6283,6.589
17:29:15:8120,2.4436,3.0243,-6.3609,7.455
17:29:15:8139,2.3225,1.5039,-8.7491,9.176
17:29:15:8210,3.4479,0.9168,-8.8817,9.571
17:29:15:8320,3.8924,0.0352,-2.3853,4.565
17:29:15:8530,0.7243,-1.2434,6.4738,6.632
17:29:15:8550,-8.5674,-4.5202,10.1246,14.012
17:29:15:8690,-25.1115,-11.8607,-0.6248,27.779
17:29:15:8720,-42.9898,-21.5439,-3.8460,48.240
17:29:15:8850,-35.5581,-25.9307,2.8258,44.099
17:29:15:8990,-2.6473,-21.7895,-1.4734,21.999
17:29:15:9020,-1.9220,-22.0467,-3.0224,22.336
17:29:15:9120,-6.0642,-37.5356,-5.4572,38.412
17:29:15:9230,-5.0081,-40.7193,-3.5057,41.176
17:29:15:9380,-11.2126,-20.7885,0.3818,23.623
17:29:15:9410,-10.7377,-16.0324,1.2416,19.336
17:29:15:9640,-7.3642,-6.9587,2.5885,10.457
17:29:15:9660,-4.6693,-0.8550,2.4854,5.358
17:29:15:9820,-1.2533,5.2563,3.1809,6.270
17:29:15:9840,-0.9538,6.2910,3.3613,7.196
17:29:16:0020,3.0598,8.6494,0.3467,9.181
17:29:16:0040,5.6590,10.2521,-1.6778,11.830
17:29:16:0140,7.4036,10.9681,-1.9961,13.383
17:29:16:0320,6.9823,10.8858,-2.2759,13.131
17:29:16:0350,5.2085,10.2827,-2.3614,11.766
17:29:16:0429,3.0873,9.3657,-2.3840,10.146
17:29:16:0530,1.3025,8.2092,-2.2421,8.609
17:29:16:0780,0.5676,7.6843,-1.9319,7.944
17:29:16:0790,0.4153,7.4745,-1.2324,7.587
17:29:16:0970,0.5730,7.8391,-0.6896,7.890
17:29:16:1000,0.6032,8.7849,-0.2298,8.809
17:29:16:1010,0.5061,8.9035,0.0350,8.918
17:29:16:1110,0.5856,9.3743,0.5764,9.410
17:29:16:1210,0.3240,9.8281,1.8562,10.007
17:29:16:1520,0.1087,10.4566,4.7795,11.498
17:29:16:1540,0.0592,10.4553,5.3280,11.735
17:29:16:1550,0.0343,10.7001,6.1296,12.331
17:29:16:1610,0.3673,11.1980,6.1897,12.800
17:29:16:1790,0.6736,11.7801,6.2724,13.363
17:29:16:1820,0.5940,11.8323,6.2924,13.415
17:29:16:1920,1.1729,11.5351,6.0072,13.058
17:29:16:2020,1.5863,11.2478,6.1637,12.924
17:29:16:2130,1.9614,10.6627,6.6875,12.738
17:29:16:2220,2.0994,10.2218,6.8457,12.480
17:29:16:2370,2.0349,9.3120,5.8863,11.203
17:29:16:2410,1.8851,6.6537,4.3144,8.151
17:29:16:2530,0.6744,5.0186,10.3276,11.502
17:29:16:2750,-0.9053,4.4076,11.6005,12.443
17:29:16:2770,-9.7260,-17.4205,8.7343,21.780
17:29:16:2950,-34.3030,-67.7062,-1.1548,75.909
17:29:16:2980,-7.2582,-62.9922,-7.2201,63.819
17:29:16:3010,-1.9274,-47.9497,-4.0623,48.160
17:29:16:3120,6.8572,-20.1525,3.0716,21.508
17:29:16:3210,7.0924,-7.1248,7.7062,12.667
17:29:16:3380,5.4639,2.2439,0.7829,5.958
17:29:16:3410,5.2629,3.0962,-1.4298,6.271
17:29:16:3660,3.0001,5.6324,-10.5532,12.333
17:29:16:3680,-0.3507,7.2435,-7.6049,10.508
17:29:16:3890,-1.8265,8.6421,0.3243,8.839
17:29:16:3910,-1.7007,9.0069,0.4689,9.178
17:29:16:4079,-1.6202,10.8990,0.1230,11.019
17:29:16:4100,0.0652,12.4098,1.5843,12.511
17:29:16:4280,1.4442,12.7431,1.4455,12.906
17:29:16:4290,2.3704,12.8583,1.6442,13.178
17:29:16:4480,3.0084,12.9071,3.2153,13.638
17:29:16:4500,2.8550,12.8338,4.6552,13.947
17:29:16:4540,1.8220,12.7000,5.0191,13.777
17:29:16:4610,0.6995,12.7880,5.0990,13.785
17:29:16:4710,-0.7626,13.0648,4.0534,13.700
17:29:16:4890,-2.7921,13.5830,2.2053,14.041
17:29:16:4990,-1.8516,14.1587,1.4242,14.350
17:29:16:5020,-1.0202,14.0992,1.5173,14.217
17:29:16:5110,2.3247,13.3880,2.2289,13.770
17:29:16:5210,4.7880,11.8183,2.9001,13.077
17:29:16:5380,5.0699,9.4233,1.0969,10.757
17:29:16:5400,4.8907,8.9898,0.2132,10.236
17:29:16:5510,2.7055,7.5317,-1.7073,8.183
17:29:16:5629,1.4421,5.6915,-3.5118,6.841
17:29:16:5880,3.8805,3.5337,-4.2364,6.745
17:29:16:5890,5.2736,3.3695,-3.8036,7.323
17:29:16:5920,12.4118,3.4674,-4.0794,13.517
17:29:16:6050,16.2311,3.3318,-0.8726,16.593
17:29:16:6290,6.7811,2.1360,11.3982,13.434
17:29:16:6310,-1.3699,1.2153,7.3624,7.587
17:29:16:6320,-20.1043,-2.2900,-1.1091,20.265
17:29:16:6410,-30.1815,-10.1216,-0.1234,31.834
17:29:16:6530,-28.7360,-21.3507,-4.7970,36.120
17:29:16:6610,-20.3856,-21.2975,-0.4352,29.485
17:29:16:6710,-10.3303,-16.5416,5.1487,20.171
17:29:16:6830,-7.0874,-16.5258,0.6053,17.992
17:29:16:6990,-11.2735,-43.7020,-6.8010,45.642
17:29:16:7010,-9.4414,-43.4644,-5.5164,44.819
17:29:16:7110,-8.8058,-34.1299,0.4335,35.250
17:29:16:7210,-7.6871,-21.0850,4.9738,22.987
17:29:16:7380,-5.7136,-7.4781,3.0305,9.887
17:29:16:7410,-5.7558,-6.0275,2.8811,8.818
17:29:16:7570,-4.1233,-1.8353,2.8284,5.326
17:29:16:7770,-2.3233,1.7568,4.2235,5.130
17:29:16:7790,2.6186,6.3599,0.5008,6.896
17:29:16:7880,3.6494,6.9050,0.2514,7.814
17:29:16:7920,5.3154,9.1009,0.1984,10.541
17:29:16:8090,5.9487,9.7919,-0.3070,11.461
17:29:16:8320,5.8751,9.7054,-0.1043,11.346
17:29:16:8340,5.1193,9.4746,-0.0068,10.769
17:29:16:8350,4.0866,9.1078,-0.3731,9.990
17:29:16:8500,2.8879,8.7910,-0.6354,9.275
17:29:16:8710,1.8439,8.8580,-0.7814,9.082
17:29:16:8730,0.9534,9.0593,-1.3493,9.209
17:29:16:8750,1.4140,9.9056,-1.1025,10.067
17:29:16:8920,1.5441,9.9096,-0.2391,10.032
17:29:16:9190,2.5092,10.0982,0.4035,10.413
17:29:16:9200,2.3937,10.0911,0.5285,10.385
17:29:16:9230,2.3504,10.0691,0.9548,10.384
17:29:16:9240,2.2418,10.0577,1.0689,10.360
17:29:16:9430,0.7477,9.7057,3.2405,10.260
17:29:16:9450,0.3612,9.6936,4.0055,10.495
17:29:16:9570,0.0449,9.7971,4.8210,10.919
17:29:16:9610,0.1742,9.8832,4.7355,10.960
17:29:16:9800,0.6469,9.7943,4.3627,10.742
17:29:16:9820,0.5194,9.7943,4.5250,10.802
17:29:16:9910,0.1187,9.8723,5.6657,11.383
17:29:17:0020,-0.0436,9.9001,6.8519,12.040
17:29:17:0130,-0.1117,9.8447,7.3733,12.300
17:29:17:0220,-1.0960,9.2201,7.1895,11.743
17:29:17:0320,-2.3020,7.8854,7.2675,10.968
17:29:17:0440,-10.5983,-1.8004,5.7441,12.189
17:29:17:0660,-22.7101,-39.9863,-2.9796,46.082
17:29:17:0680,-2.3957,-45.8877,-11.4687,47.360
17:29:17:0730,1.2603,-31.7584,4.1647,32.055
17:29:17:0820,-4.7083,-34.3161,10.3246,36.144
17:29:17:0990,4.4216,-33.4392,-7.1399,34.478
17:29:17:1019,6.0221,-29.7299,-8.3526,31.463
17:29:17:1110,6.8335,-17.0263,-9.8173,20.808
17:29:17:1210,2.1357,-8.1748,-2.8017,8.902
17:29:17:1620,-5.0336,-1.9620,-7.1030,8.924
17:29:17:1630,-6.3283,-0.8487,-10.0750,11.928
17:29:17:1650,-7.7000,1.3365,-9.5221,12.319
17:29:17:1660,-6.0282,2.7678,-1.9996,6.928
17:29:17:1780,-1.6907,6.6068,2.5731,7.289
17:29:17:1810,-1.2580,7.0259,2.4296,7.540
17:29:17:1990,-1.3278,9.4853,4.0393,10.395
17:29:17:2010,-1.5330,11.9194,0.9947,12.059
17:29:17:2300,1.4083,12.2700,1.6715,12.463
17:29:17:2310,3.0711,11.8036,2.8898,12.534
17:29:17:2320,3.6510,11.3896,4.6323,12.826
17:29:17:2410,3.3930,11.2913,5.2041,12.888
17:29:17:2550,3.1774,11.5109,4.7103,12.837
17:29:17:2710,2.7973,11.7740,4.5324,12.923
17:29:17:2730,1.9830,12.1533,5.0872,13.323
17:29:17:2810,1.3463,12.4216,5.3434,13.589
17:29:17:2980,0.2478,13.0730,4.1132,13.707
17:29:17:3020,0.3298,13.1470,3.5773,13.629
17:29:17:3120,0.9190,13.3065,2.4644,13.564
17:29:17:3210,2.5131,13.1481,1.2674,13.446
17:29:17:3420,6.3511,10.8891,-1.2733,12.670
17:29:17:3430,6.9164,10.3144,-1.6812,12.532
17:29:17:3640,7.6637,8.4737,-2.1043,11.617
17:29:17:3660,6.9171,7.0766,-1.9078,10.078
17:29:17:3790,3.5957,4.3288,-6.7420,8.782
17:29:17:3820,3.7000,4.2479,-6.5832,8.665
17:29:17:3930,6.2524,2.5066,-13.6347,15.208
17:29:17:4160,10.4382,2.6334,-9.9482,14.658
17:29:17:4180,10.3855,2.4323,5.8702,12.175
17:29:17:4390,5.3956,1.6179,20.6373,21.392
17:29:17:4420,-1.3121,0.5055,15.9817,16.043
17:29:17:4430,-21.9637,-5.7451,-5.3614,23.327
17:29:17:4610,-46.7989,-19.2366,-1.6292,50.624
17:29:17:4660,-37.5978,-26.3060,-3.7063,46.036
17:29:17:4790,-16.2974,-22.4165,0.1395,27.715
17:29:17:4820,-14.0612,-32.5182,3.0413,35.558
17:29:17:4980,-0.4205,-42.6094,-5.6833,42.989
17:29:17:5010,-0.7806,-40.7065,-6.6166,41.248
17:29:17:5120,-7.7900,-29.3688,-2.0590,30.454
17:29:17:5230,-7.4702,-18.2467,2.1757,19.836
17:29:17:5400,-3.2421,-6.9247,3.9246,8.594
17:29:17:5410,-2.8315,-5.8155,3.6591,7.431
17:29:17:5620,-0.7247,-2.6445,2.3333,3.600
17:29:17:5639,1.6950,0.5119,1.2528,2.169
17:29:17:5790,2.2676,8.1397,0.6971,8.478
17:29:17:5820,2.7108,8.8958,-0.3005,9.305
17:29:17:5910,3.9841,10.8484,-1.9842,11.726
17:29:17:6010,4.1192,11.5690,-0.7306,12.302
17:29:17:6300,3.3899,11.4702,-0.3038,11.965
17:29:17:6320,2.6679,11.0549,-0.4732,11.382
17:29:17:6330,1.9758,10.6481,-0.7552,10.856
17:29:17:6410,0.9785,10.1969,-0.5562,10.259
17:29:17:6540,0.7912,9.7326,-0.1232,9.765
17:29:17:6680,0.6591,9.6320,0.2296,9.657
17:29:17:6909,0.8248,9.7079,0.6802,9.767
17:29:17:6919,1.2581,9.8862,0.8742,10.004
17:29:17:6979,1.9374,9.8922,1.0108,10.131
17:29:17:7000,1.9255,9.8766,1.1763,10.131
17:29:17:7320,1.9274,9.8308,1.4356,10.120
17:29:17:7340,1.7787,9.8297,1.9060,10.170
17:29:17:7420,0.3995,9.8287,4.2940,10.733
17:29:17:7440,0.2987,9.7984,4.4345,10.759
17:29:17:7580,0.0703,9.8813,4.7299,10.955
17:29:17:7630,0.2459,9.8809,5.0327,11.091
17:29:17:7790,0.3493,9.9023,6.3495,11.768
17:29:17:7810,0.2521,9.8961,6.7337,11.972
17:29:17:7920,0.7975,9.7003,8.0228,12.613
17:29:17:8030,1.5609,9.0594,9.3881,13.139
17:29:17:8129,-0.4496,7.7167,8.6235,11.581
17:29:17:8210,-1.9247,6.1362,7.0447,9.539
17:29:17:8340,-11.5408,-6.5647,6.1688,14.640
17:29:17:8560,-27.0105,-33.8948,9.4529,44.360
17:29:17:8590,-3.5816,-52.4177,-2.9232,52.621
17:29:17:8760,-2.4435,-46.0078,-3.5080,46.206
17:29:17:8780,-6.1893,-40.3986,1.8664,40.913
17:29:17:8810,1.4132,-31.0473,4.7145,31.435
17:29:17:8980,8.2956,-12.8527,-3.9938,15.810
17:29:17:9010,6.3461,-9.7603,-3.8044,12.248
17:29:17:9110,-0.4617,-3.4646,0.3805,3.516
17:29:17:9280,-4.6403,0.9753,-1.2707,4.909
17:29:17:9470,-7.9729,7.5159,-5.3682,12.201
17:29:17:9500,-7.8208,8.0397,-4.7032,12.162
17:29:17:9540,-5.6266,9.3473,-1.9382,11.081
17:29:17:9630,-2.7730,10.6398,-1.3933,11.083
17:29:17:9820,3.3808,12.0710,0.8068,12.561
17:29:17:9840,3.5716,12.0145,0.9568,12.571
17:29:17:9920,5.3815,13.4786,-0.3246,14.517
17:29:18:0020,6.5482,13.4487,-1.4261,15.026
17:29:18:0130,7.4708,13.2069,1.1349,15.216
17:29:18:0220,7.6232,13.0422,4.2458,15.692
17:29:18:0320,5.7248,13.0212,5.5630,15.273
17:29:18:0420,2.4746,12.8540,4.9363,13.990
17:29:18:0630,-1.3140,12.5805,4.7210,13.501
17:29:18:0650,-3.4006,12.2593,3.8337,13.287
17:29:18:0709,-2.5785,11.5813,3.0133,12.242
17:29:18:0810,0.3227,10.3702,2.3802,10.645
17:29:18:0970,2.5636,9.1308,0.8088,9.518
17:29:18:1070,2.8431,8.8056,0.4471,9.264
17:29:18:1290,2.7893,8.0336,0.0272,8.504
17:29:18:1310,2.9277,7.3410,0.5445,7.922
17:29:18:1380,1.3677,6.3098,1.7599,6.692
17:29:18:1400,0.9861,5.9615,1.6885,6.274
17:29:18:1530,1.2437,5.5094,0.8043,5.705
17:29:18:1719,4.6238,4.3381,-0.6252,6.371
17:29:18:1790,8.5556,-0.1073,-0.9266,8.606
17:29:18:1810,7.1110,-0.8471,1.1981,7.261
17:29:18:1940,-2.8727,-2.4724,9.5396,10.265
17:29:18:2070,-17.5986,-6.8554,0.3052,18.889
17:29:18:2240,-25.0193,-14.4410,-7.4939,29.844
17:29:18:2270,-20.1028,-19.9906,1.7347,28.403
17:29:18:2320,-15.0901,-20.1470,3.5211,25.417
17:29:18:2410,-11.7133,-22.9064,-2.4266,25.842
17:29:18:2540,-4.7219,-28.5135,-5.7612,29.470
17:29:18:2710,-4.8182,-28.8593,-4.0076,29.532
17:29:18:2730,-12.5064,-26.9530,-1.0800,29.733
17:29:18:2810,-15.9727,-21.3641,-1.4510,26.714
17:29:18:2980,-9.8061,-12.9196,-3.3419,16.560
17:29:18:3010,-8.8116,-11.4117,-3.3854,14.810
17:29:18:3140,-6.1720,-8.1622,-2.6759,10.577
17:29:18:3250,-3.2877,-4.0948,-1.5207,5.467
17:29:18:3410,4.0542,1.7096,0.9593,4.503
17:29:18:3420,4.3027,2.8722,2.3392,5.678
17:29:18:3620,4.3455,6.6779,3.9540,8.894
17:29:18:3640,6.2565,8.5868,1.5623,10.739
17:29:18:3860,7.1199,9.4862,2.2543,12.073
17:29:18:3870,6.7038,9.5050,1.8742,11.781
17:29:18:4069,6.4081,9.6306,1.7264,11.696
17:29:18:4100,3.3530,8.1209,-0.3525,8.793
17:29:18:4120,1.2399,7.5401,-1.1501,7.727
17:29:18:4230,-0.1740,7.2759,-1.6258,7.457
17:29:18:4460,-0.9520,7.2858,-2.0804,7.637
17:29:18:4470,-0.9525,8.0207,-2.2993,8.398
17:29:18:4540,-0.3097,9.2940,-2.7942,9.710
17:29:18:4610,0.0483,10.0406,-3.2378,10.550
17:29:18:4840,0.1840,10.4347,-1.9138,10.610
17:29:18:4860,-0.3160,10.2256,2.3358,10.494
17:29:18:5030,0.1525,10.1015,4.9012,11.229
17:29:18:5050,0.4107,10.0412,4.8797,11.172
17:29:18:5120,0.8459,9.9470,4.5766,10.982
17:29:18:5220,1.0295,9.8791,4.4858,10.899
17:29:18:5390,1.1684,9.9850,4.9457,11.204
17:29:18:5420,1.2564,10.0429,4.8385,11.218
17:29:18:5590,2.1889,10.3757,4.0684,11.358
17:29:18:5610,2.1721,10.4920,5.2618,11.937
17:29:18:5790,0.3998,10.0353,6.5149,11.971
17:29:18:5810,-0.0396,9.9674,5.7091,11.487
17:29:18:5920,-0.9471,8.6867,1.8353,8.929
17:29:18:6050,-3.2928,6.2740,-0.4714,7.101
17:29:18:6270,-21.7495,-1.5062,8.2221,23.300
17:29:18:6290,-12.8927,-3.4253,4.8740,14.202
17:29:18:6310,-5.0477,-9.0361,-10.4105,14.680
17:29:18:6580,0.9294,-27.9890,-6.5169,28.753
17:29:18:6600,-7.3596,-53.0103,9.4525,54.347
17:29:18:6620,-11.2447,-58.3627,10.0840,60.285
17:29:18:6740,-5.3602,-50.3193,10.8915,51.763
17:29:18:6939,5.1140,-29.5196,4.0774,30.235
17:29:18:6979,-1.1545,-7.9974,2.3880,8.426
17:29:18:7060,-2.6492,-5.2903,1.6887,6.153
17:29:18:7240,-5.0501,0.1823,-2.5064,5.641
17:29:18:7260,-6.5608,4.8986,-8.8113,12.028
17:29:18:7400,-7.1870,8.7514,-6.8696,13.245
17:29:18:7420,-6.1028,9.3339,-4.8290,12.153
17:29:18:7550,-3.4334,10.4937,-0.4924,11.052
17:29:18:7610,1.8741,11.5519,-0.2979,11.707
17:29:18:7790,5.3290,13.2969,-0.7010,14.342
17:29:18:7800,5.8103,13.1529,-0.9979,14.414
17:29:18:7910,5.8138,12.5625,-1.2751,13.901
17:29:18:8030,5.1005,12.3055,-0.3116,13.324
17:29:18:8120,3.7908,12.2515,3.0558,13.184
17:29:18:8210,2.7181,12.1767,5.5966,13.674
17:29:18:8330,0.6886,12.2633,5.7507,13.562
17:29:18:8460,-1.8763,12.4693,2.5469,12.864
17:29:18:8550,-3.8405,12.7337,0.6507,13.316
17:29:18:8600,-2.6389,12.1570,1.5793,12.540
17:29:18:8710,0.8618,10.6543,2.3828,10.951
17:29:18:8810,3.8550,9.2040,3.7145,10.648
17:29:18:8980,6.7015,8.3841,3.5463,11.304
17:29:18:9000,7.4889,8.2414,3.6281,11.712
17:29:18:9110,9.8989,7.6953,4.7866,13.421
17:29:18:9220,13.0056,7.1101,4.9902,15.640
17:29:18:9380,10.6129,6.0055,-1.0984,12.244
17:29:18:9500,8.1019,5.7054,-4.5092,10.887
17:29:18:9530,2.5985,4.5762,-11.2095,12.383
17:29:18:9630,-1.6716,3.7935,-13.4089,14.035
17:29:18:9780,-3.3376,3.8773,-1.1139,5.236
17:29:18:9810,-2.4953,3.9303,3.4459,5.792
17:29:19:0040,2.3868,3.6203,16.5320,17.091
17:29:19:0050,3.5338,1.5374,17.8780,18.289
17:29:19:0120,-10.8127,-4.1850,-6.6505,13.366
17:29:19:0210,-26.5951,-9.1259,-7.1167,29.004
17:29:19:0380,-29.6436,-15.1489,4.6951,33.620
17:29:19:0410,-20.1834,-25.0368,3.6001,32.360
17:29:19:0530,-4.0067,-41.4149,-3.9912,41.799
17:29:19:0620,4.8070,-42.1730,-5.4586,42.796
17:29:19:0730,-2.9589,-36.5126,-3.0532,36.759
17:29:19:0810,-16.4467,-27.9569,-0.0748,32.436
17:29:19:0980,-13.2980,-14.4604,2.5933,19.816
17:29:19:1000,-12.2100,-11.9179,2.1953,17.203
17:29:19:1110,-11.0770,-6.6072,0.6155,12.913
17:29:19:1210,-10.0372,-2.8415,-0.6307,10.451
17:29:19:1380,-3.8463,1.2020,-1.4632,4.287
17:29:19:1419,-2.9323,1.6831,-1.1575,3.574
17:29:19:1650,2.5149,3.3116,1.2371,4.338
17:29:19:1660,3.7178,4.8559,2.4741,6.597
17:29:19:1790,6.6426,6.6853,1.6328,9.565
17:29:19:1810,6.6112,7.0860,1.5734,9.818
17:29:19:1920,5.8192,7.9190,0.8524,9.864
17:29:19:2030,4.2136,8.2887,-0.5144,9.312
17:29:19:2120,1.9482,8.5068,-1.2117,8.811
17:29:19:2210,0.3873,8.5022,-1.4724,8.637
17:29:19:2330,-0.3466,8.4290,-1.6963,8.605
17:29:19:2450,-0.0686,8.5989,-1.9071,8.808
17:29:19:2660,1.1557,8.9668,-2.4517,9.368
17:29:19:2670,1.7854,9.3881,-3.0344,10.027
17:29:19:2710,2.2670,9.9867,-3.6999,10.889
17:29:19:2970,2.3339,10.1395,-3.3056,10.917
17:29:19:2990,1.8069,9.9661,0.2061,10.131
17:29:19:3010,1.5750,9.8987,1.7384,10.173
17:29:19:3120,1.3712,9.8830,5.1702,11.238
17:29:19:3220,1.5785,10.0080,6.5290,12.053
17:29:19:3420,1.9543,10.3658,6.8208,12.562
17:29:19:3430,1.7811,10.2611,7.0919,12.600
17:29:19:3580,1.4364,9.9654,7.7571,12.710
17:29:19:3610,1.1234,9.8473,7.9731,12.720
17:29:19:3790,1.0496,9.5586,7.4102,12.140
17:29:19:3810,0.7876,9.6232,7.2856,12.096
17:29:19:3910,0.2877,10.1506,4.3969,11.066
17:29:19:4010,-1.8797,10.3349,2.9220,10.903
17:29:19:4130,-5.5933,8.2317,2.6204,10.291
17:29:19:4240,-7.8966,4.9696,1.3107,9.422
17:29:19:4440,-6.9005,4.7033,5.2387,9.858
17:29:19:4460,-5.7153,3.4558,5.1406,8.428
17:29:19:4660,-13.7440,-46.0906,-5.9244,48.460
17:29:19:4680,-16.9076,-68.1757,-8.7438,70.783
17:29:19:4710,-3.5511,-68.6209,-2.0699,68.744
17:29:19:5010,8.7929,-47.7996,2.1496,48.649
17:29:19:5030,7.6784,-14.4228,6.0738,17.432
17:29:19:5050,7.0672,-10.7055,4.7372,13.675
17:29:19:5270,3.7364,-5.6844,0.7235,6.841
17:29:19:5280,-0.5562,-2.4534,-0.9344,2.684
17:29:19:5460,-4.4281,3.1018,-1.3258,5.567
17:29:19:5480,-4.8833,4.4315,-1.8686,6.854
17:29:19:5699,-5.5865,8.2552,-3.4668,10.553
17:29:19:5719,-4.3399,10.8996,-3.7777,12.325
17:29:19:5780,-2.4242,11.9386,2.9109,12.525
17:29:19:5860,-1.4136,12.0838,2.5892,12.439
17:29:19:6030,0.9443,12.0611,2.7834,12.414
17:29:19:6060,3.3699,11.5579,3.1544,12.446
17:29:19:6140,4.6773,11.6524,2.5473,12.812
17:29:19:6220,4.9834,12.0585,3.0141,13.391
17:29:19:6310,4.3443,12.3409,3.6970,13.596
17:29:19:6420,3.3183,12.4553,3.7086,13.413
17:29:19:6530,2.0062,12.5725,3.1219,13.109
17:29:19:6610,0.8438,12.6814,2.7450,13.002
17:29:19:6720,-0.7220,13.3547,2.5069,13.607
17:29:19:6820,0.0403,13.6874,2.6267,13.937
17:29:19:7010,4.7301,12.6311,2.4695,13.712
17:29:19:7030,4.8472,12.6104,2.4290,13.727
17:29:19:7110,6.0267,11.5814,2.5272,13.298
17:29:19:7230,6.2693,10.9113,1.4550,12.668
17:29:19:7450,4.4594,9.7007,-2.1644,10.894
17:29:19:7470,3.8281,9.3485,-2.8911,10.508
17:29:19:7510,2.0879,7.8822,-2.7331,8.600
17:29:19:7650,-0.2266,5.5595,-2.5726,6.130
17:29:19:7820,-1.4125,0.8087,-10.2335,10.362
17:29:19:7840,-1.0650,0.1946,-10.9872,11.040
17:29:19:7920,0.2358,-0.6154,-8.8714,8.896
17:29:19:8080,1.5709,0.2365,3.2966,3.659
17:29:19:8250,3.2685,-0.8774,14.1917,14.590
17:29:19:8270,1.4925,-3.6437,15.7264,16.212
17:29:19:8350,-10.1960,-9.6062,-1.7727,14.120
17:29:19:8530,-22.2617,-15.9748,-1.2103,27.427
17:29:19:8550,-20.0991,-13.2639,6.5046,24.944
17:29:19:8610,-17.2168,-11.7246,4.5464,21.320
17:29:19:8760,-22.4027,-37.4485,1.5315,43.665
17:29:19:8810,-18.5575,-56.2396,-2.5586,59.278
17:29:19:8970,-17.7319,-40.6717,-2.2034,44.424
17:29:19:9010,-14.4356,-32.7128,-2.7050,35.858
17:29:19:9140,-6.9049,-17.8905,-3.1031,19.426
17:29:19:9230,-1.9839,-8.2570,-2.3269,8.805
17:29:19:9560,4.1813,3.2777,0.7994,5.373
17:29:19:9580,5.6271,5.5622,1.4105,8.037
17:29:19:9580,11.1804,9.6031,2.5834,14.963
17:29:19:9690,11.7677,11.1730,4.0381,16.722
17:29:19:9840,9.2031,10.1181,1.0231,13.716
17:29:19:9980,7.0630,9.3583,-1.0752,11.774
17:29:20:0000,6.7146,9.4931,-1.1828,11.688
17:29:20:0010,4.6188,9.1960,-1.8141,10.449
17:29:20:0120,2.2469,9.0915,-1.8292,9.542
17:29:20:0230,0.0120,9.2080,-1.4004,9.314
17:29:20:0380,-2.8891,9.3219,-0.2283,9.762
17:29:20:0400,-3.5797,9.5360,0.3103,10.190
17:29:20:0690,-3.5677,10.2213,-0.1810,10.828
17:29:20:0700,-3.6457,10.4778,-0.3162,11.098
17:29:20:0709,-3.3080,10.3930,1.6653,11.033
17:29:20:0840,-2.8580,10.2005,3.8944,11.287
17:29:20:0980,-1.8713,10.1371,3.8898,11.018
17:29:20:1019,-1.7132,10.0570,3.9011,10.922
17:29:20:1120,-1.1583,9.9529,3.7027,10.682
17:29:20:1210,-0.7841,9.9012,3.5201,10.538
17:29:20:1380,-0.5916,9.8968,3.5896,10.544
17:29:20:1450,-0.6325,9.8963,3.7483,10.601
17:29:20:1510,-0.3962,9.9819,3.8014,10.689
17:29:20:1670,0.3806,10.3204,2.6605,10.665
17:29:20:1790,-0.2046,10.5929,3.8253,11.264
